soc_code,occupation,ai_exposure,ability_exposure,activity_exposure,gics_sector
49-2097.00,Audiovisual Equipment Installers and Repairers,44.43500201348982,0.7231053930207966,0.6932378171199124,Industrials
49-2098.00,Security and Fire Alarm Systems Installers,42.023257748661344,0.7209386906823694,0.6918009810791871,Industrials
49-3011.00,Aircraft Mechanics and Service Technicians,34.5732931615342,0.7152520300291098,0.6863561823548705,Industrials
49-3021.00,Automotive Body and Related Repairers,23.99161094318971,0.700625550660793,0.685171906600478,Industrials
49-3022.00,Automotive Glass Installers and Repairers,28.04927118388117,0.7070984657214994,0.6847617962160931,Industrials
49-3023.00,Automotive Service Technicians and Mechanics,28.38253374656737,0.7130791741180295,0.6792790363178711,Industrials
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,30.92026307212675,0.7006907008086254,0.6954592901878913,Industrials
49-3041.00,Farm Equipment Mechanics and Service Technicians,33.99045400475233,0.7089201496178239,0.6918172062242891,Industrials
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",28.119443025247303,0.7066045251752708,0.685360584911931,Industrials
49-3043.00,Rail Car Repairers,19.4157608905711,0.6927617298380365,0.6861986628462273,Industrials
49-3051.00,Motorboat Mechanics and Service Technicians,32.268711704535775,0.7069159663865545,0.6912488262910798,Industrials
49-3052.00,Motorcycle Mechanics,33.599677265499864,0.7123762376237623,0.6877772341813437,Industrials
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,31.62955381504074,0.7035229645093944,0.6936868222753171,Industrials
49-3091.00,Bicycle Repairers,37.24299258692746,0.7170692017814321,0.6885279759669544,Industrials
49-3092.00,Recreational Vehicle Service Technicians,29.742220845865685,0.7126635357262663,0.681726268489047,Industrials
49-3093.00,Tire Repairers and Changers,22.467817942743668,0.6992385321100917,0.6842821304515632,Industrials
49-9011.00,Mechanical Door Repairers,21.466403843298394,0.7013024357239513,0.6807219512195122,Industrials
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",39.6380614434596,0.7188024670207298,0.6903733333333334,Industrials
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.60291118937769,0.7098975276512688,0.681295799821269,Industrials
49-9031.00,Home Appliance Repairers,34.26153104236126,0.7110685114185699,0.6900738776283386,Industrials
49-9041.00,Industrial Machinery Mechanics,24.39688606790249,0.7028852459016395,0.6835177583437444,Industrials
49-9043.00,"Maintenance Workers, Machinery",28.66424572095409,0.7005888465535158,0.6921902874132804,Industrials
49-9044.00,Millwrights,21.650280840414958,0.7057721829904822,0.6765269461077844,Industrials
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",24.992676534428057,0.7046475810835295,0.6826456310679612,Industrials
49-9051.00,Electrical Power-Line Installers and Repairers,15.044475633474653,0.7040184453227932,0.6684105358764759,Industrials
49-9052.00,Telecommunications Line Installers and Repairers,32.47162573723366,0.7100964912280703,0.6883714880332986,Industrials
49-9061.00,Camera and Photographic Equipment Repairers,60.34982308965253,0.733743751157193,0.7063787913868951,Industrials
49-9062.00,Medical Equipment Repairers,51.28786951728633,0.723089306897136,0.7034932024169184,Industrials
49-9063.00,Musical Instrument Repairers and Tuners,41.64783409179118,0.7188382649630127,0.6933404627649232,Industrials
49-9064.00,Watch and Clock Repairers,49.81651994735717,0.7232054794520547,0.7011785941813549,Industrials
